EDI_ID,REFINITIV_ID
118962,https://permid.org/1-4295856862
10545,https://permid.org/1-4295856863
92201,https://permid.org/1-4295856864
,https://permid.org/1-4295856865
10734,https://permid.org/1-4295856866
77899,https://permid.org/1-4295856867
89902,https://permid.org/1-4295856868
114899,https://permid.org/1-4295856869
,https://permid.org/1-4295856871
115865,https://permid.org/1-4295856872
,https://permid.org/1-4295856873
82506,https://permid.org/1-4295856875
105055,https://permid.org/1-4295856876
,https://permid.org/1-4295856877
91205,https://permid.org/1-4295856878
88661,https://permid.org/1-4295856879
79249,https://permid.org/1-4295856880
81688,https://permid.org/1-4295856881
,https://permid.org/1-4295856882
113239,https://permid.org/1-4295856883
88418,https://permid.org/1-4295856884
97833,https://permid.org/1-4295856885
,https://permid.org/1-4295856886
99948,https://permid.org/1-4295856887
79440,https://permid.org/1-4295856888
,https://permid.org/1-4295856890
10822,https://permid.org/1-4295856891
11025,https://permid.org/1-4295856892
109627,https://permid.org/1-4295856894
,https://permid.org/1-4295856895
81009,https://permid.org/1-4295856896
10090,https://permid.org/1-4295856897
10413,https://permid.org/1-4295856898
10418,https://permid.org/1-4295856899
109072,https://permid.org/1-4295856900
11023,https://permid.org/1-4295856902
101384,https://permid.org/1-4295856903
55342,https://permid.org/1-4295856904
,https://permid.org/1-4295856905
113165,https://permid.org/1-4295856906
,https://permid.org/1-4295856907
109308,https://permid.org/1-4295856908
10742,https://permid.org/1-4295856909
77128,https://permid.org/1-4295856910
89695,https://permid.org/1-4295856911
11042,https://permid.org/1-4295856912
77709,https://permid.org/1-4295856913
,https://permid.org/1-4295856914
110767,https://permid.org/1-4295856915
115373,https://permid.org/1-4295856916
10565,https://permid.org/1-4295856917
119007,https://permid.org/1-4295856918
10520,https://permid.org/1-4295856919
108139,https://permid.org/1-4295856920
71213,https://permid.org/1-4295856921
89580,https://permid.org/1-4295856922
,https://permid.org/1-4295856923
,https://permid.org/1-4295856924
82923,https://permid.org/1-4295856925
117166,https://permid.org/1-4295856926
81758,https://permid.org/1-4295856927
10885,https://permid.org/1-4295856928
81007,https://permid.org/1-4295856929
95136,https://permid.org/1-4295856930
94188,https://permid.org/1-4295856931
10910,https://permid.org/1-4295856932
,https://permid.org/1-4295856933
105126,https://permid.org/1-4295856934
11029,https://permid.org/1-4295856937
,https://permid.org/1-4295856938
118989,https://permid.org/1-4295856939
10099,https://permid.org/1-4295856941
10301,https://permid.org/1-4295856943
141572,https://permid.org/1-4295856944
10456,https://permid.org/1-4295856945
,https://permid.org/1-4295856946
10383,https://permid.org/1-4295856949
,https://permid.org/1-4295856950
,https://permid.org/1-4295856951
10878,https://permid.org/1-4295856952
118992,https://permid.org/1-4295856953
10716,https://permid.org/1-4295856954
10458,https://permid.org/1-4295856956
,https://permid.org/1-4295856957
,https://permid.org/1-4295856959
10505,https://permid.org/1-4295856960
10408,https://permid.org/1-4295856961
10223,https://permid.org/1-4295856962
10890,https://permid.org/1-4295856963
10997,https://permid.org/1-4295856964
10723,https://permid.org/1-4295856965
119011,https://permid.org/1-4295856966
,https://permid.org/1-4295856968
119000,https://permid.org/1-4295856970
98224,https://permid.org/1-4295856971
98580,https://permid.org/1-4295856973
101924,https://permid.org/1-4295856974
119099,https://permid.org/1-4295856975
80446,https://permid.org/1-4295856976
,https://permid.org/1-4295856977
,https://permid.org/1-4295856978
96092,https://permid.org/1-4295856979
10165,https://permid.org/1-4295856980
,https://permid.org/1-4295856981
10557,https://permid.org/1-4295856982
10572,https://permid.org/1-4295856983
69416,https://permid.org/1-4295856984
77036,https://permid.org/1-4295856985
113011,https://permid.org/1-4295856986
88056,https://permid.org/1-4295856988
78002,https://permid.org/1-4295856989
166612,https://permid.org/1-4295856990
94975,https://permid.org/1-4295856991
71753,https://permid.org/1-4295856992
85184,https://permid.org/1-4295856993
77901,https://permid.org/1-4295856994
87544,https://permid.org/1-4295856995
,https://permid.org/1-4295856996
100684,https://permid.org/1-4295856997
54625,https://permid.org/1-4295856998
72777,https://permid.org/1-4295856999
10651,https://permid.org/1-4295857000
,https://permid.org/1-4295857001
10459,https://permid.org/1-4295857002
10269,https://permid.org/1-4295857003
233503,https://permid.org/1-4295857004
10463,https://permid.org/1-4295857005
90396,https://permid.org/1-4295857006
,https://permid.org/1-4295857007
10002,https://permid.org/1-4295857008
10977,https://permid.org/1-4295857009
,https://permid.org/1-4295857010
,https://permid.org/1-4295857011
10532,https://permid.org/1-4295857012
